"recode_name","updated_recode_name","indicator_ID_Github","indicator_ID_Github_raw","indicator_def_github","indicator_def_github_raw","indicator_chapter","indicator_R_bundle","start_position","end_position","matched_pattern"
"MRdata","MRdata","hk_test_where_male","hk_test_where","Know where to get an HIV test male men","Know where to get an HIV test","Chap13_HK","HK_TEST_CONSL_M",2416,2486,"set_variable_labels(hk_test_where = ""Know where to get an HIV test"")  "
"MRdata","MRdata","hk_test_prior_male","hk_test_prior","Prior HIV testing status and whether received test result male men","Prior HIV testing status and whether received test result","Chap13_HK","HK_TEST_CONSL_M",2883,2981,"set_variable_labels(hk_test_prior = ""Prior HIV testing status and whether received test result"")  "
"MRdata","MRdata","hk_test_ever_male","hk_test_ever","Ever been tested for HIV male men","Ever been tested for HIV","Chap13_HK","HK_TEST_CONSL_M",3129,3194,"set_variable_labels(hk_test_ever  = ""Ever been tested for HIV"")  "
"MRdata","MRdata","hk_test_12m_male","hk_test_12m","Tested for HIV in the past 12 months and received results of the last test male men","Tested for HIV in the past 12 months and received results of the last test","Chap13_HK","HK_TEST_CONSL_M",3398,3511,"set_variable_labels(hk_test_12m = ""Tested for HIV in the past 12 months and received results of the last test"")  "
"MRdata","MRdata","hk_hiv_selftest_heard_male","hk_hiv_selftest_heard","Ever heard of HIV self-test kits male men","Ever heard of HIV self-test kits","Chap13_HK","HK_TEST_CONSL_M",3695,3776,"set_variable_labels(hk_hiv_selftest_heard = ""Ever heard of HIV self-test kits"")  "
"MRdata","MRdata","hk_hiv_selftest_use_male","hk_hiv_selftest_use","Ever used a HIV self-test kit male men","Ever used a HIV self-test kit","Chap13_HK","HK_TEST_CONSL_M",3953,4030,"set_variable_labels(hk_hiv_selftest_use = ""Ever used a HIV self-test kit"")   "
"MRdata","MRdata","hk_circum","hk_circum","Circumcised","Circumcised","Chap13_HK","HK_CIRCUM",1115,1163,"set_variable_labels(hk_circum = ""Circumcised"")  "
"MRdata","MRdata","hk_circum_status_prov","hk_circum_status_prov","Circumcision status and provider","Circumcision status and provider","Chap13_HK","HK_CIRCUM",1674,1760,"set_variable_labels(hk_circum_status_prov = ""Circumcision status and provider"")       "
"MRdata","MRdata","hk_sex_15_male","hk_sex_15","Had sexual intercourse before 15 among age 15-24 male men","Had sexual intercourse before 15 among age 15-24","Chap13_HK","HK_BHV_YNG_M",1415,1500,"set_variable_labels(hk_sex_15 = ""Had sexual intercourse before 15 among age 15-24"")  "
"MRdata","MRdata","hk_sex_18_male","hk_sex_18","Had sexual intercourse before 18 among age 18-24 male men","Had sexual intercourse before 18 among age 18-24","Chap13_HK","HK_BHV_YNG_M",1694,1779,"set_variable_labels(hk_sex_18 = ""Had sexual intercourse before 18 among age 18-24"")  "
"MRdata","MRdata","hk_nosex_youth_male","hk_nosex_youth","Never had sexual intercourse among never-married age 15-24 male men","Never had sexual intercourse among never-married age 15-24","Chap13_HK","HK_BHV_YNG_M",2005,2105,"set_variable_labels(hk_nosex_youth = ""Never had sexual intercourse among never-married age 15-24"")  "
"MRdata","MRdata","hk_sex_youth_test_male","hk_sex_youth_test","Had sexual intercourse in past 12 mnths and received HIV test and results among 15-24 male men","Had sexual intercourse in past 12 mnths and received HIV test and results among 15-24","Chap13_HK","HK_BHV_YNG_M",2428,2560,"set_variable_labels(hk_sex_youth_test = ""Had sexual intercourse in past 12 mnths and received HIV test and results among 15-24"")    "
"MRdata","MRdata","hk_sex_2plus_male","hk_sex_2plus","Have two or more sexual partners in the past 12 months male men","Have two or more sexual partners in the past 12 months","Chap13_HK","HK_RSKY_BHV_M",2125,2221,"set_variable_labels(hk_sex_2plus = ""Have two or more sexual partners in the past 12 months"")    "
"MRdata","MRdata","hk_sex_notprtnr_male","hk_sex_notprtnr","Had sexual intercourse with a person that is not their spouse and does not live with them in the past 12 months male men","Had sexual intercourse with a person that is not their spouse and does not live with them in the past 12 months","Chap13_HK","HK_RSKY_BHV_M",2966,3120,"set_variable_labels(hk_sex_notprtnr = ""Had sexual intercourse with a person that is not their spouse and does not live with them in the past 12 months"")  "
"MRdata","MRdata","hk_cond_2plus_male","hk_cond_2plus","Have two or more sexual partners in the past 12 months and used a condom at last sex male men","Have two or more sexual partners in the past 12 months and used a condom at last sex","Chap13_HK","HK_RSKY_BHV_M",3409,3534,"set_variable_labels(hk_cond_2plus = ""Have two or more sexual partners in the past 12 months and used a condom at last sex"")  "
"MRdata","MRdata","hk_cond_notprtnr_male","hk_cond_notprtnr","Used a condom at last sex with a partner that is not their spouse and does not live with them in the past 12 months male men","Used a condom at last sex with a partner that is not their spouse and does not live with them in the past 12 months","Chap13_HK","HK_RSKY_BHV_M",3910,4069,"set_variable_labels(hk_cond_notprtnr = ""Used a condom at last sex with a partner that is not their spouse and does not live with them in the past 12 months"")  "
"MRdata","MRdata","hk_paid_sex_ever","hk_paid_sex_ever","Ever paid for sex among men 15-49","Ever paid for sex among men 15-49","Chap13_HK","HK_RSKY_BHV_M",5520,5596,"set_variable_labels(hk_paid_sex_ever =""Ever paid for sex among men 15-49"")  "
"MRdata","MRdata","hk_paid_sex_12mo","hk_paid_sex_12mo","Paid for sex in the past 12 months among men 15-49","Paid for sex in the past 12 months among men 15-49","Chap13_HK","HK_RSKY_BHV_M",5777,5871,"set_variable_labels(hk_paid_sex_12mo = ""Paid for sex in the past 12 months among men 15-49"")  "
"MRdata","MRdata","hk_paid_sex_cond","hk_paid_sex_cond","Used a condom at last paid sexual intercourse in the past 12 months among men 15-49","Used a condom at last paid sexual intercourse in the past 12 months among men 15-49","Chap13_HK","HK_RSKY_BHV_M",6075,6203,"set_variable_labels(hk_paid_sex_cond = ""Used a condom at last paid sexual intercourse in the past 12 months among men 15-49"")   "
"IRdata","IRdata","hk_sti_female","hk_sti","Had STI in the past 12 months female women","Had STI in the past 12 months","Chap13_HK","HK_STI_F",1731,1794,"set_variable_labels(hk_sti = ""Had STI in the past 12 months"")  "
"IRdata","IRdata","hk_gent_disch_female","hk_gent_disch","Had abnormalgenital discharge in past 12 mnths female women","Had abnormalgenital discharge in past 12 mnths","Chap13_HK","HK_STI_F",2012,2098,"set_variable_labels(hk_gent_disch= ""Had abnormalgenital discharge in past 12 mnths"")  "
"IRdata","IRdata","hk_gent_sore_female","hk_gent_sore","Had genital sore or ulcer in past 12 mnths female women","Had genital sore or ulcer in past 12 mnths","Chap13_HK","HK_STI_F",2313,2395,"set_variable_labels(hk_gent_sore = ""Had genital sore or ulcer in past 12 mnths"")  "
"IRdata","IRdata","hk_sti_symp_female","hk_sti_symp","Had STI or STI symptoms in past 12 mnths female women","Had STI or STI symptoms in past 12 mnths","Chap13_HK","HK_STI_F",2640,2719,"set_variable_labels(hk_sti_symp = ""Had STI or STI symptoms in past 12 mnths"")  "
"sti_list","sti_list","hk_sti_trt_doc","hk_sti_trt_doc","Had STI or STI symptoms in past 12 mnths and sought advice or treatment from a clinic/hospital/private doctor","Had STI or STI symptoms in past 12 mnths and sought advice or treatment from a clinic/hospital/private doctor","Chap13_HK","HK_STI_F",3476,3634,"set_variable_labels(hk_sti_trt_doc = ""Had STI or STI symptoms in past 12 mnths and sought advice or treatment from a clinic/hospital/private doctor"")         "
"sti_list","sti_list","hk_sti_trt_pharm","hk_sti_trt_pharm","Had STI or STI symptoms in past 12 mnths and sought advice or treatment from pharmacy","Had STI or STI symptoms in past 12 mnths and sought advice or treatment from pharmacy","Chap13_HK","HK_STI_F",3851,3979,"set_variable_labels(hk_sti_trt_pharm= ""Had STI or STI symptoms in past 12 mnths and sought advice or treatment from pharmacy"")  "
"IRdata","IRdata","hk_sti_trt_other_female","hk_sti_trt_other","Had STI or STI symptoms in past 12 mnths and sought advice or treatment from any other source female women","Had STI or STI symptoms in past 12 mnths and sought advice or treatment from any other source","Chap13_HK","HK_STI_F",4225,4361,"set_variable_labels(hk_sti_trt_other= ""Had STI or STI symptoms in past 12 mnths and sought advice or treatment from any other source"")  "
"IRdata","IRdata","hk_sti_notrt_female","hk_sti_notrt","Had STI or STI symptoms in  past 12 mnths and sought no advice or treatment female women","Had STI or STI symptoms in  past 12 mnths and sought no advice or treatment","Chap13_HK","HK_STI_F",4550,4665,"set_variable_labels(hk_sti_notrt= ""Had STI or STI symptoms in  past 12 mnths and sought no advice or treatment"")   "
"MRdata","MRdata","hk_sti_male","hk_sti","Had STI in the past 12 months male men","Had STI in the past 12 months","Chap13_HK","HK_STI_M",1670,1733,"set_variable_labels(hk_sti = ""Had STI in the past 12 months"")  "
"MRdata","MRdata","hk_gent_disch_male","hk_gent_disch","Had abnormalgenital discharge in past 12 mnths male men","Had abnormalgenital discharge in past 12 mnths","Chap13_HK","HK_STI_M",1955,2041,"set_variable_labels(hk_gent_disch= ""Had abnormalgenital discharge in past 12 mnths"")  "
"MRdata","MRdata","hk_gent_sore_male","hk_gent_sore","Had genital sore or ulcer in past 12 mnths male men","Had genital sore or ulcer in past 12 mnths","Chap13_HK","HK_STI_M",2260,2342,"set_variable_labels(hk_gent_sore = ""Had genital sore or ulcer in past 12 mnths"")  "
"MRdata","MRdata","hk_sti_symp_male","hk_sti_symp","Had STI or STI symptoms in past 12 mnths male men","Had STI or STI symptoms in past 12 mnths","Chap13_HK","HK_STI_M",2593,2672,"set_variable_labels(hk_sti_symp = ""Had STI or STI symptoms in past 12 mnths"")  "
"MRdata","MRdata","hk_sti_trt_doc_male","hk_sti_trt_doc","Had STI or STI symptoms in past 12 mnths and sought advice or treatment from a clinic/hospital/private doctor male men","Had STI or STI symptoms in past 12 mnths and sought advice or treatment from a clinic/hospital/private doctor","Chap13_HK","HK_STI_M",3403,3555,"set_variable_labels(hk_sti_trt_doc = ""Had STI or STI symptoms in past 12 mnths and sought advice or treatment from a clinic/hospital/private doctor"")   "
"MRdata","MRdata","hk_sti_trt_pharm_male","hk_sti_trt_pharm","Had STI or STI symptoms in past 12 mnths and sought advice or treatment from pharmacy male men","Had STI or STI symptoms in past 12 mnths and sought advice or treatment from pharmacy","Chap13_HK","HK_STI_M",3777,3905,"set_variable_labels(hk_sti_trt_pharm= ""Had STI or STI symptoms in past 12 mnths and sought advice or treatment from pharmacy"")  "
"MRdata","MRdata","hk_sti_trt_other_male","hk_sti_trt_other","Had STI or STI symptoms in past 12 mnths and sought advice or treatment from any other source male men","Had STI or STI symptoms in past 12 mnths and sought advice or treatment from any other source","Chap13_HK","HK_STI_M",4158,4294,"set_variable_labels(hk_sti_trt_other= ""Had STI or STI symptoms in past 12 mnths and sought advice or treatment from any other source"")  "
"MRdata","MRdata","hk_sti_notrt_male","hk_sti_notrt","Had STI or STI symptoms in  past 12 mnths and sought no advice or treatment male men","Had STI or STI symptoms in  past 12 mnths and sought no advice or treatment","Chap13_HK","HK_STI_M",4487,4604,"set_variable_labels(hk_sti_notrt= ""Had STI or STI symptoms in  past 12 mnths and sought no advice or treatment"")     "
"IRdata","IRdata","hk_test_where_female","hk_test_where","Know where to get an HIV test female women","Know where to get an HIV test","Chap13_HK","HK_TEST_CONSL_F",2413,2483,"set_variable_labels(hk_test_where = ""Know where to get an HIV test"")  "
"IRdata","IRdata","hk_test_prior_female","hk_test_prior","Prior HIV testing status and whether received test result female women","Prior HIV testing status and whether received test result","Chap13_HK","HK_TEST_CONSL_F",2873,2971,"set_variable_labels(hk_test_prior = ""Prior HIV testing status and whether received test result"")  "
